Check-in Date,Check-out Date,Price in NZD,URL
2024-05-22,2024-05-23,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-05-22&guests=3&adults=3&check_out=2024-05-23&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-05-26,2024-05-27,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-05-26&guests=3&adults=3&check_out=2024-05-27&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-05-27,2024-05-28,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-05-27&guests=3&adults=3&check_out=2024-05-28&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-05-28,2024-05-29,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-05-28&guests=3&adults=3&check_out=2024-05-29&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-05-29,2024-05-30,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-05-29&guests=3&adults=3&check_out=2024-05-30&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-05-30,2024-05-31,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-05-30&guests=3&adults=3&check_out=2024-05-31&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-02,2024-06-03,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-02&guests=3&adults=3&check_out=2024-06-03&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-03,2024-06-04,245,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-03&guests=3&adults=3&check_out=2024-06-04&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-04,2024-06-05,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-04&guests=3&adults=3&check_out=2024-06-05&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-05,2024-06-06,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-05&guests=3&adults=3&check_out=2024-06-06&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-06,2024-06-07,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-06&guests=3&adults=3&check_out=2024-06-07&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-09,2024-06-10,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-09&guests=3&adults=3&check_out=2024-06-10&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-10,2024-06-11,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-10&guests=3&adults=3&check_out=2024-06-11&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-11,2024-06-12,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-11&guests=3&adults=3&check_out=2024-06-12&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
2024-06-12,2024-06-13,193,https://www.airbnb.co.nz/rooms/1141075033936083504?check_in=2024-06-12&guests=3&adults=3&check_out=2024-06-13&source_impression_id=p3_1716375187_DzCQ/fil4FkTfY2q
