date,price
2024-05-18,288.0
2024-05-19,288.0
2024-05-20,288.0
2024-05-21,288.0
2024-05-22,288.0
2024-05-23,288.0
2024-05-24,288.0
2024-05-25,288.0
2024-05-26,288.0
2024-05-27,284.0
2024-05-28,284.0
2024-05-29,284.0
2024-05-30,284.0
2024-05-31,284.0
2024-06-01,284.0
2024-06-02,284.0
2024-06-03,284.0
2024-06-04,284.0
2024-06-05,284.0
2024-06-06,284.0
2024-06-07,284.0
2024-06-08,284.0
2024-06-09,284.0
2024-06-10,284.0
2024-06-11,284.0
2024-06-12,284.0
2024-06-13,284.0
2024-06-14,284.0
2024-06-15,284.0
2024-06-16,284.0
2024-06-17,284.0
2024-06-18,284.0
2024-06-19,284.0
2024-06-20,284.0
2024-06-21,284.0
2024-06-22,284.0
2024-06-23,284.0
2024-06-24,284.0
2024-06-25,284.0
2024-06-26,284.0
2024-06-27,284.0
2024-06-28,284.0
2024-06-29,284.0
2024-06-30,284.0
2024-07-01,284.0
2024-07-02,284.0
2024-07-03,284.0
2024-07-04,284.0
2024-07-05,284.0
2024-07-06,284.0
2024-07-07,284.0
2024-07-08,284.0
2024-07-09,284.0
2024-07-10,284.0
2024-07-11,284.0
2024-07-12,284.0
2024-07-13,284.0
2024-07-14,284.0
2024-07-15,284.0
2024-07-16,284.0
2024-07-17,284.0
2024-07-18,284.0
2024-07-19,284.0
2024-07-20,284.0
2024-07-21,284.0
2024-07-22,284.0
2024-07-23,284.0
2024-07-24,284.0
2024-07-25,284.0
2024-07-26,284.0
2024-07-27,284.0
2024-07-28,284.0
2024-07-29,284.0
2024-07-30,284.0
2024-07-31,284.0
2024-08-01,284.0
2024-08-02,284.0
2024-08-03,284.0
2024-08-04,284.0
2024-08-05,284.0
2024-08-06,284.0
2024-08-07,284.0
2024-08-08,284.0
2024-08-09,284.0
2024-08-10,284.0
2024-08-11,284.0
2024-08-12,284.0
2024-08-13,284.0
2024-08-14,284.0
2024-08-15,284.0
2024-08-16,284.0
2024-08-17,284.0
2024-08-18,284.0
2024-08-19,284.0
2024-08-20,284.0
2024-08-21,284.0
2024-08-22,284.0
2024-08-23,284.0
2024-08-24,284.0
2024-08-25,284.0
2024-08-26,284.0
2024-08-27,284.0
2024-08-28,284.0
2024-08-29,284.0
2024-08-30,284.0
2024-08-31,284.0
2024-09-01,284.0
2024-09-02,284.0
2024-09-03,284.0
2024-09-04,284.0
2024-09-05,284.0
2024-09-06,284.0
2024-09-07,284.0
2024-09-08,284.0
2024-09-09,284.0
2024-09-10,284.0
2024-09-11,284.0
2024-09-12,284.0
2024-09-13,284.0
2024-09-14,284.0
2024-09-15,284.0
2024-09-16,284.0
2024-09-17,284.0
2024-09-18,284.0
2024-09-19,284.0
2024-09-20,284.0
