id,guests,bedrooms,beds,baths,href
18023402,5,3,3,1,https://www.airbnb.co.nz/rooms/18023402
36149227,3,2,2,5,https://www.airbnb.co.nz/rooms/36149227
566211381824024109,4,3,4,2,https://www.airbnb.co.nz/rooms/566211381824024109
635947170438929163,5,3,3,2,https://www.airbnb.co.nz/rooms/635947170438929163
1068446442449836873,6,3,3,5,https://www.airbnb.co.nz/rooms/1068446442449836873
1113924528479451932,10,3,6,1,https://www.airbnb.co.nz/rooms/1113924528479451932
1117628987970569728,6,3,3,2,https://www.airbnb.co.nz/rooms/1117628987970569728
1125096139567330802,5,3,4,2,https://www.airbnb.co.nz/rooms/1125096139567330802
19572710,6,3,5,1,https://www.airbnb.co.nz/rooms/19572710
31224347,5,3,4,5,https://www.airbnb.co.nz/rooms/31224347
774751299724737098,6,3,3,5,https://www.airbnb.co.nz/rooms/774751299724737098
856174211238380149,6,3,3,5,https://www.airbnb.co.nz/rooms/856174211238380149
1010151645029557983,6,3,4,5,https://www.airbnb.co.nz/rooms/1010151645029557983
1048534481893002772,8,4,4,2,https://www.airbnb.co.nz/rooms/1048534481893002772
1091468425243006953,4,4,4,2,https://www.airbnb.co.nz/rooms/1091468425243006953
13213359,7,4,4,2,https://www.airbnb.co.nz/rooms/13213359
13997779,2,3,5,2,https://www.airbnb.co.nz/rooms/13997779
18348257,10,3,5,5,https://www.airbnb.co.nz/rooms/18348257
41292977,6,4,4,5,https://www.airbnb.co.nz/rooms/41292977
707539528122947177,4,3,2,1,https://www.airbnb.co.nz/rooms/707539528122947177
885571378705449047,10,4,6,2,https://www.airbnb.co.nz/rooms/885571378705449047
907668457604202999,5,3,3,1,https://www.airbnb.co.nz/rooms/907668457604202999
974030728064591489,6,3,3,5,https://www.airbnb.co.nz/rooms/974030728064591489
979376514129893302,6,3,3,2,https://www.airbnb.co.nz/rooms/979376514129893302
14156783,6,3,4,5,https://www.airbnb.co.nz/rooms/14156783
34445366,6,4,4,3,https://www.airbnb.co.nz/rooms/34445366
818542484636231684,5,3,8,1,https://www.airbnb.co.nz/rooms/818542484636231684
1004449831166740447,5,3,3,2,https://www.airbnb.co.nz/rooms/1004449831166740447
