Check-in Date,Check-out Date,Price in NZD,URL
2024-05-24,2024-05-25,210,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-05-24&guests=3&adults=3&check_out=2024-05-25&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-03,2024-06-04,177,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-03&guests=3&adults=3&check_out=2024-06-04&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-04,2024-06-05,173,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-04&guests=3&adults=3&check_out=2024-06-05&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-05,2024-06-06,170,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-05&guests=3&adults=3&check_out=2024-06-06&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-06,2024-06-07,170,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-06&guests=3&adults=3&check_out=2024-06-07&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-07,2024-06-08,184,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-07&guests=3&adults=3&check_out=2024-06-08&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-09,2024-06-10,245,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-09&guests=3&adults=3&check_out=2024-06-10&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-10,2024-06-11,245,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-10&guests=3&adults=3&check_out=2024-06-11&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-11,2024-06-12,245,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-11&guests=3&adults=3&check_out=2024-06-12&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-12,2024-06-13,245,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-12&guests=3&adults=3&check_out=2024-06-13&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
2024-06-23,2024-06-24,245,https://www.airbnb.co.nz/rooms/1125096139567330802?check_in=2024-06-23&guests=3&adults=3&check_out=2024-06-24&source_impression_id=p3_1716360138_am4FZZS0vB0cllcB
