Check-in Date,Check-out Date,Price in NZD,URL
2024-05-27,2024-05-28,141,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-05-27&guests=3&adults=3&check_out=2024-05-28&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-05-28,2024-05-29,141,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-05-28&guests=3&adults=3&check_out=2024-05-29&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-05-29,2024-05-30,141,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-05-29&guests=3&adults=3&check_out=2024-05-30&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-05-30,2024-05-31,141,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-05-30&guests=3&adults=3&check_out=2024-05-31&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-03,2024-06-04,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-03&guests=3&adults=3&check_out=2024-06-04&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-04,2024-06-05,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-04&guests=3&adults=3&check_out=2024-06-05&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-05,2024-06-06,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-05&guests=3&adults=3&check_out=2024-06-06&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-06,2024-06-07,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-06&guests=3&adults=3&check_out=2024-06-07&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-07,2024-06-08,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-07&guests=3&adults=3&check_out=2024-06-08&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-08,2024-06-09,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-08&guests=3&adults=3&check_out=2024-06-09&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-09,2024-06-10,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-09&guests=3&adults=3&check_out=2024-06-10&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-10,2024-06-11,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-10&guests=3&adults=3&check_out=2024-06-11&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-11,2024-06-12,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-11&guests=3&adults=3&check_out=2024-06-12&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-12,2024-06-13,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-12&guests=3&adults=3&check_out=2024-06-13&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-13,2024-06-14,178,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-13&guests=3&adults=3&check_out=2024-06-14&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-20,2024-06-21,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-20&guests=3&adults=3&check_out=2024-06-21&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-21,2024-06-22,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-21&guests=3&adults=3&check_out=2024-06-22&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-22,2024-06-23,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-22&guests=3&adults=3&check_out=2024-06-23&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-23,2024-06-24,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-23&guests=3&adults=3&check_out=2024-06-24&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-24,2024-06-25,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-24&guests=3&adults=3&check_out=2024-06-25&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-25,2024-06-26,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-25&guests=3&adults=3&check_out=2024-06-26&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-26,2024-06-27,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-26&guests=3&adults=3&check_out=2024-06-27&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-27,2024-06-28,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-27&guests=3&adults=3&check_out=2024-06-28&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-28,2024-06-29,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-28&guests=3&adults=3&check_out=2024-06-29&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
2024-06-29,2024-06-30,190,https://www.airbnb.co.nz/rooms/1008128615688965304?check_in=2024-06-29&guests=3&adults=3&check_out=2024-06-30&source_impression_id=p3_1716370492_ruvZ+Rd7L31+3RPB
