Check-in Date,Check-out Date,Price in NZD,URL
2024-05-31,2024-06-01,236,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-05-31&guests=3&adults=3&check_out=2024-06-01&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-01,2024-06-02,258,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-01&guests=3&adults=3&check_out=2024-06-02&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-02,2024-06-03,258,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-02&guests=3&adults=3&check_out=2024-06-03&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-03,2024-06-04,258,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-03&guests=3&adults=3&check_out=2024-06-04&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-04,2024-06-05,258,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-04&guests=3&adults=3&check_out=2024-06-05&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-05,2024-06-06,258,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-05&guests=3&adults=3&check_out=2024-06-06&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-06,2024-06-07,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-06&guests=3&adults=3&check_out=2024-06-07&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-07,2024-06-08,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-07&guests=3&adults=3&check_out=2024-06-08&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-08,2024-06-09,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-08&guests=3&adults=3&check_out=2024-06-09&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-09,2024-06-10,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-09&guests=3&adults=3&check_out=2024-06-10&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-10,2024-06-11,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-10&guests=3&adults=3&check_out=2024-06-11&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-11,2024-06-12,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-11&guests=3&adults=3&check_out=2024-06-12&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-12,2024-06-13,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-12&guests=3&adults=3&check_out=2024-06-13&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-13,2024-06-14,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-13&guests=3&adults=3&check_out=2024-06-14&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-14,2024-06-15,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-14&guests=3&adults=3&check_out=2024-06-15&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-15,2024-06-16,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-15&guests=3&adults=3&check_out=2024-06-16&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-16,2024-06-17,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-16&guests=3&adults=3&check_out=2024-06-17&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-17,2024-06-18,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-17&guests=3&adults=3&check_out=2024-06-18&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-18,2024-06-19,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-18&guests=3&adults=3&check_out=2024-06-19&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-19,2024-06-20,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-19&guests=3&adults=3&check_out=2024-06-20&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-20,2024-06-21,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-20&guests=3&adults=3&check_out=2024-06-21&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-21,2024-06-22,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-21&guests=3&adults=3&check_out=2024-06-22&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-22,2024-06-23,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-22&guests=3&adults=3&check_out=2024-06-23&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-23,2024-06-24,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-23&guests=3&adults=3&check_out=2024-06-24&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-24,2024-06-25,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-24&guests=3&adults=3&check_out=2024-06-25&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-25,2024-06-26,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-25&guests=3&adults=3&check_out=2024-06-26&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-26,2024-06-27,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-26&guests=3&adults=3&check_out=2024-06-27&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-29,2024-06-30,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-29&guests=3&adults=3&check_out=2024-06-30&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-06-30,2024-07-01,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-06-30&guests=3&adults=3&check_out=2024-07-01&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-01,2024-07-02,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-01&guests=3&adults=3&check_out=2024-07-02&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-02,2024-07-03,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-02&guests=3&adults=3&check_out=2024-07-03&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-03,2024-07-04,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-03&guests=3&adults=3&check_out=2024-07-04&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-04,2024-07-05,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-04&guests=3&adults=3&check_out=2024-07-05&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-05,2024-07-06,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-05&guests=3&adults=3&check_out=2024-07-06&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-06,2024-07-07,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-06&guests=3&adults=3&check_out=2024-07-07&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-07,2024-07-08,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-07&guests=3&adults=3&check_out=2024-07-08&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-08,2024-07-09,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-08&guests=3&adults=3&check_out=2024-07-09&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-09,2024-07-10,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-09&guests=3&adults=3&check_out=2024-07-10&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-10,2024-07-11,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-10&guests=3&adults=3&check_out=2024-07-11&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-11,2024-07-12,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-11&guests=3&adults=3&check_out=2024-07-12&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-12,2024-07-13,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-12&guests=3&adults=3&check_out=2024-07-13&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-13,2024-07-14,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-13&guests=3&adults=3&check_out=2024-07-14&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-14,2024-07-15,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-14&guests=3&adults=3&check_out=2024-07-15&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-15,2024-07-16,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-15&guests=3&adults=3&check_out=2024-07-16&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-16,2024-07-17,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-16&guests=3&adults=3&check_out=2024-07-17&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-21,2024-07-22,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-21&guests=3&adults=3&check_out=2024-07-22&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-22,2024-07-23,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-22&guests=3&adults=3&check_out=2024-07-23&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-23,2024-07-24,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-23&guests=3&adults=3&check_out=2024-07-24&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-24,2024-07-25,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-24&guests=3&adults=3&check_out=2024-07-25&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
2024-07-28,2024-07-29,287,https://www.airbnb.co.nz/rooms/1017748763616316098?check_in=2024-07-28&guests=3&adults=3&check_out=2024-07-29&source_impression_id=p3_1716370038_pqdFThnXtIHe9zJt
